Name,Email,Specialty
Dr. Nida Mahmood,nida.mahmood@hospital.com,Geriatrician
Dr. Abdul Siraaj,abdul.siraaj@hospital.com,Naturopath
Dr. Abdul Muizz,abdul.muizz@hospital.com,Sports Psychologist
Dr. Rizwan Khan,rizwan.khan@hospital.com,Cardiologist
Dr. Danish Ahmed,danish.ahmed@hospital.com,Physiotherapist
Dr. Fatima Rehman,fatima.rehman@hospital.com,Endodontist
Dr. Nadia Khan,nadia.khan@hospital.com,Chiropractor
Dr. Ali Raza,ali.raza@hospital.com,Allied Health Prof.
Dr. Asif Ali,asif.ali@hospital.com,Hematologist
Dr. Bilquis Zafr,bilquis.zafr@hospital.com,Oncology Nurse
Dr. Amna Waqas,amna.waqas@hospital.com,Sleep Specialist
Dr. Arif Siddiqui,arif.siddiqui@hospital.com,Palliative Care Specialist
Dr. Usman Khan,usman.khan@hospital.com,Sports Medicine Specialist
Dr. Faisal Jamal,faisal.jamal@hospital.com,Orthopedist
Dr. Farhan Naz,farhan.naz@hospital.com,Anesthesiologist
Dr. Zain Iqbal,zain.iqbal@hospital.com,Medical Geneticist
Dr. Zain Tariq,zain.tariq@hospital.com,Infectious Disease Specialist
Dr. Anees Tariq,anees.tariq@hospital.com,Acupuncturist
Dr. Sajid Ali,sajid.ali@hospital.com,Infectious Disease Specialist
Dr. Nida Farooq,nida.farooq@hospital.com,Audiologist
Dr. Maria Masood,maria.masood@hospital.com,Mental Health Counselor
Dr. Sara Iftikhar,sara.iftikhar@hospital.com,Nephrologist
Dr. Asma Malik,asma.malik@hospital.com,Hepatologist
Dr. Sania Arif,sania.arif@hospital.com,Allergist
Dr. Ayesha Siddiqui,ayesha.siddiqui@hospital.com,Endocrinologist
Dr. Shafiq Ahmed,shafiq.ahmed@hospital.com,Gastroenterologist
