Name,Speciality,Email
Dr. Ahmed Khan,Oncologist,ahmed.khan.med@gmail.com
Dr. Fatima Malik,Cardiologist,fatima.malik.cardio@yahoo.com
Dr. Hassan Raza,Influenza Specialist,hassan.raza.flu@hotmail.com
Dr. Ayesha Siddiqui,Neurologist,ayesha.siddiqui.neuro@gmail.com
Dr. Bilal Ahmed,Orthopedic Surgeon,bilal.ahmed.ortho@yahoo.com
Dr. Zainab Noor,Endocrinologist,zainab.noor.endo@hotmail.com
Dr. Imran Shah,Pulmonologist,imran.shah.pulmo@gmail.com
Dr. Sana Iqbal,Pediatrician,sana.iqbal.peds@yahoo.com
Dr. Farhan Ali,Gastroenterologist,farhan.ali.gastro@hotmail.com
Dr. Mehwish Khan,Dermatologist,mehwish.khan.derm@gmail.com
Dr. Usman Qureshi,Nephrologist,usman.qureshi.nephro@yahoo.com
Dr. Hina Aslam,General Practitioner,hina.aslam.gp@hotmail.com
Dr. Saad Rehman,Psychiatrist,saad.rehman.psych@gmail.com
Dr. Amna Yousaf,Rheumatologist,amna.yousaf.rheum@yahoo.com
Dr. Kamran Butt,ENT Specialist,kamran.butt.ent@hotmail.com
Dr. Sobia Akhtar,Hematologist,sobia.akhtar.hema@gmail.com
Dr. Tariq Mehmood,Diabetologist,tariq.mehmood.diabetes@yahoo.com
Dr. Rabia Javed,Obstetrician,rabia.javed.obgyn@hotmail.com
Dr. Faisal Iqbal,Urologist,faisal.iqbal.uro@gmail.com
Dr. Nida Arshad,Allergist,nida.arshad.allergy@yahoo.com
Dr. Omar Farooq,Cardiothoracic Surgeon,omar.farooq.cardiosurg@gmail.com
Dr. Kiran Zafar,Anesthesiologist,kiran.zafar.anesth@yahoo.com
Dr. Asim Riaz,Infectious Disease Specialist,asim.riaz.infect@hotmail.com
Dr. Maryam Shafiq,Neonatologist,maryam.shafiq.neonate@gmail.com
Dr. Rehan Malik,Neurosurgeon,rehan.malik.neurosurg@yahoo.com
Dr. Saima Tariq,Pathologist,saima.tariq.patho@hotmail.com
Dr. Adnan Khan,Radiologist,adnan.khan.radio@gmail.com
Dr. Huma Nawaz,Endocrinologist,huma.nawaz.endo@yahoo.com
Dr. Zeeshan Akram,Oncologist,zeeshan.akram.onco@hotmail.com
Dr. Amina Rehman,Pediatrician,amina.rehman.peds@gmail.com
Dr. Danish Ali,Orthopedic Surgeon,danish.ali.ortho@yahoo.com
Dr. Shazia Batool,Gynecologist,shazia.batool.gyn@hotmail.com
Dr. Arif Hussain,Cardiologist,arif.hussain.cardio@gmail.com
Dr. Noor Fatima,Dermatologist,noor.fatima.derm@yahoo.com
Dr. Salman Qadir,Gastroenterologist,salman.qadir.gastro@hotmail.com
Dr. Iram Jabeen,Pulmonologist,iram.jabeen.pulmo@gmail.com
Dr. Junaid Iqbal,Nephrologist,junaid.iqbal.nephro@yahoo.com
Dr. Ayesha Khan,Psychiatrist,ayesha.khan.psych@hotmail.com
Dr. Haroon Rasheed,General Surgeon,haroon.rasheed.surg@gmail.com
Dr. Sadia Malik,Neurologist,sadia.malik.neuro@yahoo.com
Dr. Fahad Anwar,ENT Specialist,fahad.anwar.ent@hotmail.com
Dr. Maham Zafar,Hematologist,maham.zafar.hema@gmail.com
Dr. Umair Siddiqui,Diabetologist,umair.siddiqui.diabetes@yahoo.com
Dr. Nazia Aslam,Obstetrician,nazia.aslam.obgyn@hotmail.com
Dr. Rizwan Haider,Urologist,rizwan.haider.uro@gmail.com
Dr. Sania Rehman,Allergist,sania.rehman.allergy@yahoo.com
Dr. Bilal Zafar,Cardiothoracic Surgeon,bilal.zafar.cardiosurg@hotmail.com
Dr. Hira Khan,Anesthesiologist,hira.khan.anesth@gmail.com
